DateTime,Height,Type,Slack Start,Slack End
2025-12-19 03:30:00,0.96,LW,2025-12-19 02:00:00,2025-12-19 05:00:00
2025-12-19 09:40:00,2.29,HW,2025-12-19 08:10:00,2025-12-19 11:10:00
2025-12-19 15:50:00,0.89,LW,2025-12-19 14:20:00,2025-12-19 17:20:00
2025-12-19 22:00:00,2.36,HW,2025-12-19 20:30:00,2025-12-19 23:30:00
2025-12-20 04:10:00,0.85,LW,2025-12-20 02:40:00,2025-12-20 05:40:00
2025-12-20 10:20:00,2.31,HW,2025-12-20 08:50:00,2025-12-20 11:50:00
2025-12-20 16:20:00,0.91,LW,2025-12-20 14:50:00,2025-12-20 17:50:00
2025-12-20 22:30:00,2.41,HW,2025-12-20 21:00:00,2025-12-21 00:00:00
2025-12-21 04:50:00,0.76,LW,2025-12-21 03:20:00,2025-12-21 06:20:00
2025-12-21 11:00:00,2.31,HW,2025-12-21 09:30:00,2025-12-21 12:30:00
2025-12-21 17:00:00,0.94,LW,2025-12-21 15:30:00,2025-12-21 18:30:00
2025-12-21 23:10:00,2.46,HW,2025-12-21 21:40:00,2025-12-22 00:40:00
2025-12-22 05:20:00,0.69,LW,2025-12-22 03:50:00,2025-12-22 06:50:00
2025-12-22 11:40:00,2.29,HW,2025-12-22 10:10:00,2025-12-22 13:10:00
2025-12-22 17:40:00,0.99,LW,2025-12-22 16:10:00,2025-12-22 19:10:00
2025-12-22 23:40:00,2.49,HW,2025-12-22 22:10:00,2025-12-23 01:10:00
2025-12-23 06:00:00,0.65,LW,2025-12-23 04:30:00,2025-12-23 07:30:00
2025-12-23 12:30:00,2.25,HW,2025-12-23 11:00:00,2025-12-23 14:00:00
2025-12-23 18:10:00,1.06,LW,2025-12-23 16:40:00,2025-12-23 19:40:00
2025-12-24 00:20:00,2.5,HW,2025-12-23 22:50:00,2025-12-24 01:50:00
2025-12-24 06:50:00,0.63,LW,2025-12-24 05:20:00,2025-12-24 08:20:00
2025-12-24 13:10:00,2.2,HW,2025-12-24 11:40:00,2025-12-24 14:40:00
2025-12-24 18:50:00,1.12,LW,2025-12-24 17:20:00,2025-12-24 20:20:00
2025-12-25 00:50:00,2.5,HW,2025-12-24 23:20:00,2025-12-25 02:20:00
2025-12-25 07:30:00,0.64,LW,2025-12-25 06:00:00,2025-12-25 09:00:00
2025-12-25 14:00:00,2.15,HW,2025-12-25 12:30:00,2025-12-25 15:30:00
2025-12-25 19:30:00,1.19,LW,2025-12-25 18:00:00,2025-12-25 21:00:00
2025-12-26 01:30:00,2.5,HW,2025-12-26 00:00:00,2025-12-26 03:00:00
2025-12-26 08:20:00,0.66,LW,2025-12-26 06:50:00,2025-12-26 09:50:00
2025-12-26 14:40:00,2.1,HW,2025-12-26 13:10:00,2025-12-26 16:10:00
2025-12-26 20:10:00,1.24,LW,2025-12-26 18:40:00,2025-12-26 21:40:00
2025-12-27 02:20:00,2.48,HW,2025-12-27 00:50:00,2025-12-27 03:50:00
2025-12-27 09:00:00,0.69,LW,2025-12-27 07:30:00,2025-12-27 10:30:00
2025-12-27 15:40:00,2.07,HW,2025-12-27 14:10:00,2025-12-27 17:10:00
2025-12-27 21:10:00,1.29,LW,2025-12-27 19:40:00,2025-12-27 22:40:00
2025-12-28 03:10:00,2.44,HW,2025-12-28 01:40:00,2025-12-28 04:40:00
2025-12-28 10:10:00,0.74,LW,2025-12-28 08:40:00,2025-12-28 11:40:00
2025-12-28 16:40:00,2.06,HW,2025-12-28 15:10:00,2025-12-28 18:10:00
2025-12-28 22:10:00,1.3,LW,2025-12-28 20:40:00,2025-12-28 23:40:00
2025-12-29 04:10:00,2.4,HW,2025-12-29 02:40:00,2025-12-29 05:40:00
2025-12-29 11:10:00,0.77,LW,2025-12-29 09:40:00,2025-12-29 12:40:00
2025-12-29 17:50:00,2.09,HW,2025-12-29 16:20:00,2025-12-29 19:20:00
2025-12-29 23:20:00,1.25,LW,2025-12-29 21:50:00,2025-12-30 00:50:00
2025-12-30 05:30:00,2.38,HW,2025-12-30 04:00:00,2025-12-30 07:00:00
2025-12-30 12:10:00,0.78,LW,2025-12-30 10:40:00,2025-12-30 13:40:00
2025-12-30 18:50:00,2.16,HW,2025-12-30 17:20:00,2025-12-30 20:20:00
2025-12-31 00:40:00,1.14,LW,2025-12-30 23:10:00,2025-12-31 02:10:00
2025-12-31 06:50:00,2.39,HW,2025-12-31 05:20:00,2025-12-31 08:20:00
2025-12-31 13:20:00,0.78,LW,2025-12-31 11:50:00,2025-12-31 14:50:00
2025-12-31 19:50:00,2.25,HW,2025-12-31 18:20:00,2025-12-31 21:20:00
